local;type;surface;nb_piece;prix
2036;0;500;3;2500.0
2016;0;220;2;1800.0
2036;0;170;3;4000.0
2015;0;250;5;3000.0
2070;0;600;5;6000.0
2016;0;250;3;5000.0
2070;0;160;4;3200.0
2070;0;500;5;6500.0
8050;0;200;3;650.0
8050;0;300;3;2200.0
2016;0;300;5;4500.0
8050;0;200;2;1300.0
2091;0;150;4;1200.0
8050;0;250;3;2001.0
2070;0;450;8;3200.0
2070;0;360;5;3500.0
2070;0;320;3;1600.0
2016;0;170;3;3000.0
2070;0;80;1;2000.0
8050;0;120;2;1350.0
2070;0;115;2;2200.0
2070;0;174;3;1700.0
2070;0;140;3;1200.0
2070;0;100;3;1200.0
2070;0;250;4;4000.0
1082;0;300;4;2600.0
8050;0;120;2;650.0
4180;0;130;3;700.0
2070;0;300;4;3000.0
2036;0;320;6;3400.0
2070;0;220;5;6500.0
4004;0;300;3;1200.0
1082;0;180;3;1800.0
2015;0;190;3;2000.0
8050;0;150;2;1200.0
2016;0;80;1;1300.0
2070;0;60;1;1600.0
2070;0;200;3;1250.0
2091;0;300;4;2800.0
2091;0;200;3;1850.0
1000;0;600;5;6000.0
2091;0;70;1;500.0
1082;0;700;5;1800.0
2016;0;200;3;3900.0
2016;0;200;3;4000.0
2036;0;250;4;2200.0
2015;0;135;3;1150.0
2070;0;170;2;3500.0
2070;0;220;4;4000.0
2016;0;136;3;3000.0
4004;0;200;2;1600.0
2070;0;180;6;1800.0
8050;0;420;5;3501.0
2070;0;120;2;850.0
2070;0;174;3;1700.0
4116;0;250;4;2000.0
2016;0;170;3;2700.0
2036;0;200;4;5600.0
2070;0;80;1;2000.0
4004;0;200;2;1000.0
2070;0;200;4;980.0
8000;0;233;3;1801.0
8050;0;120;3;700.0
2070;0;200;3;1400.0
4004;0;280;4;2000.0
2016;0;200;3;4500.0
2070;0;200;3;5000.0
2036;0;250;5;2300.0
2070;0;250;5;4450.0
2070;0;450;8;3200.0
2070;0;130;3;2000.0
2070;0;200;5;5500.0
2070;0;520;5;8500.0
2070;0;130;3;1200.0
2070;0;180;3;2000.0
2070;0;120;3;1250.0
1000;0;600;5;6000.0
2016;0;300;2;4000.0
8050;0;200;2;1200.0
8050;0;220;3;1900.0
8050;0;250;3;1200.0
2034;0;100;2;500.0
2070;0;250;5;3600.0
2091;0;360;9;5000.0
2070;0;120;3;1700.0
2036;0;200;4;5600.0
1082;0;300;4;2600.0
8050;0;450;2;1701.0
2091;0;100;2;1600.0
8050;0;300;3;2600.0
4004;0;200;2;1000.0
2070;0;200;4;5000.0
1082;0;200;4;1800.0
2070;0;500;4;4700.0
2070;0;130;3;2000.0
2070;0;200;5;2500.0
2016;0;170;3;3000.0
4004;0;80;2;800.0
2070;0;300;3;8000.0
2070;0;300;4;3900.0
2070;0;115;2;2200.0
2070;0;250;3;5700.0
2016;0;200;3;3900.0
2070;0;200;3;1800.0
2070;0;450;8;3200.0
2070;0;320;3;1600.0
2091;0;200;3;1850.0
2070;0;350;5;3800.0
4180;0;320;4;1500.0
2016;0;200;3;1800.0
2036;0;65;1;550.0
8050;0;150;2;4000.0
2091;0;300;4;2800.0
8050;0;300;3;1400.0
2070;0;174;3;1700.0
2070;0;520;5;8500.0
2070;0;450;5;4500.0
2070;0;200;4;2000.0
2016;0;80;1;1300.0
2016;0;300;2;4000.0
4116;0;250;4;2000.0
1082;0;100;4;530.0
2097;0;200;3;800.0
2070;0;120;4;4000.0
8050;0;250;3;1501.0
2070;0;750;1;14000.0
2070;0;350;5;3800.0
2070;0;250;3;3500.0
2070;0;500;4;4700.0
2016;0;240;3;5000.0
4180;0;500;3;800.0
2015;0;180;3;2800.0
2070;0;400;4;6000.0
2034;0;100;2;500.0
2070;0;450;4;4300.0
2070;0;80;2;3500.0
2070;0;320;3;2500.0
2070;0;370;5;3500.0
2091;0;100;2;1600.0
2070;0;360;5;3500.0
1082;0;154;1;1500.0
2070;0;120;3;1700.0
2070;0;170;2;3500.0
2070;0;390;4;4700.0
2070;0;400;5;3900.0
2016;0;400;5;5000.0
2070;0;300;3;3300.0
2070;0;300;4;3000.0
2015;0;380;3;4300.0
2016;0;500;6;6500.0
2016;0;143;3;1050.0
2070;0;450;5;5500.0
4180;0;120;2;1000.0
4022;0;200;2;1100.0
8050;0;200;3;800.0
4180;0;800;3;1000.0
2070;0;160;3;1250.0
2016;0;190;4;2900.0
2097;0;150;3;750.0
2016;0;120;3;2100.0
1082;0;80;2;600.0
2070;0;160;4;4000.0
1082;0;450;4;3500.0
2070;0;190;3;2500.0
2070;0;400;4;3500.0
4180;0;180;3;2000.0
2070;0;100;3;1200.0
4116;0;80;2;850.0
2070;0;100;3;1600.0
2070;0;350;5;3800.0
1082;0;400;7;3000.0
2070;0;160;3;1250.0
2070;0;200;3;2900.0
1082;0;300;4;2600.0
1082;0;180;3;1800.0
2070;0;500;4;6000.0
1082;0;450;4;3500.0
2070;0;400;4;6000.0
2070;0;250;4;3000.0
2070;0;300;3;8000.0
2016;0;200;4;2500.0
8000;0;233;3;1801.0
2016;0;200;3;1800.0
4004;0;280;4;2000.0
8050;0;120;3;700.0
2097;0;200;3;800.0
2070;0;250;3;1800.0
8050;0;150;2;4001.0
2070;0;80;1;2000.0
1082;0;200;3;1500.0
2015;0;180;3;1700.0
2015;0;135;3;1150.0
1082;0;120;4;550.0
8050;0;200;3;800.0
2091;0;600;8;6000.0
2091;0;180;3;1400.0
2070;0;130;3;2000.0
1082;0;300;4;2600.0
2097;0;150;3;900.0
2070;0;200;3;5000.0
2070;0;380;5;4500.0
1082;0;154;1;1500.0
4022;0;200;2;1100.0
2016;0;200;4;2500.0
4180;0;130;3;700.0
4004;0;200;2;1000.0
2070;0;400;4;6000.0
1082;0;190;2;850.0
4180;0;350;4;1000.0
2097;0;130;3;900.0
2091;0;100;2;1600.0
2015;0;200;3;1800.0
2070;0;160;4;3000.0
1082;0;180;3;1800.0
2070;0;200;3;2900.0
2070;0;180;4;1500.0
2097;0;140;3;850.0
2070;0;160;3;1250.0
2070;0;100;2;1700.0
1082;0;190;2;850.0
1082;0;100;4;530.0
2070;0;70;1;1300.0
2070;0;140;2;1750.0
2070;0;200;3;5000.0
2070;0;300;3;3300.0
2016;0;200;3;4000.0
2091;0;150;2;1800.0
4116;0;80;2;850.0
2070;0;150;3;1600.0
2070;0;200;3;1600.0
2070;0;130;3;2000.0
2070;0;370;5;3500.0
2016;0;250;5;3500.0
2070;0;500;4;6000.0
8050;0;250;3;1501.0
2070;0;120;3;1700.0
2016;0;300;2;4000.0
2070;0;420;5;3500.0
2016;0;200;3;1800.0
2070;0;450;4;4300.0
1082;0;180;3;1900.0
2036;0;65;1;550.0
2091;0;180;3;1400.0
4116;0;600;2;600.0
2097;0;150;3;900.0
2015;0;220;3;3000.0
2036;0;250;4;5000.0
2070;0;100;2;1500.0
2097;0;200;3;800.0
1082;0;154;1;1500.0
4180;0;350;4;1000.0
8050;0;60;2;2001.0
2091;0;360;9;5000.0
4180;0;170;3;700.0
8000;0;120;3;600.0
2070;0;68;2;1500.0
2070;0;500;4;4700.0
1082;0;450;4;3500.0
8045;0;120;2;120.0
2070;0;170;3;1200.0
8050;0;150;3;1201.0
1082;0;80;2;600.0
2070;0;85;2;800.0
2070;0;360;4;4500.0
2070;0;100;2;1250.0
2016;0;500;6;6500.0
2016;0;200;3;4500.0
2091;0;600;8;6000.0
2070;0;340;3;3500.0
2016;0;120;1;5000.0
2016;0;300;2;4000.0
2091;0;400;9;3600.0
2070;0;600;4;3100.0
2070;0;220;5;6500.0
2070;0;350;5;3800.0
1000;0;600;5;6000.0
1082;0;100;2;1500.0
2070;0;250;3;3500.0
4180;0;500;3;800.0
2070;0;160;3;1250.0
2070;0;140;2;2200.0
2070;0;200;3;3200.0
4004;0;200;2;1000.0
2016;0;300;2;4000.0
2070;0;450;5;5500.0
2070;0;450;5;4500.0
4004;0;80;2;800.0
2070;0;300;4;5500.0
2070;0;250;4;3000.0
2016;0;136;3;3000.0
2070;0;700;5;10000.0
2036;0;320;6;3400.0
2015;0;135;3;1150.0
2070;0;300;3;4500.0
2070;0;130;3;3500.0
2070;0;200;4;980.0
2070;0;100;3;1600.0
2015;0;200;3;4200.0
2070;0;220;3;2600.0
2070;0;200;4;5000.0
2016;0;110;2;1900.0
8050;0;190;2;1301.0
2070;0;160;4;2200.0
2091;0;200;3;1850.0
2070;0;400;4;3500.0
2070;0;180;6;1800.0
2070;0;100;1;1500.0
8000;0;300;3;1701.0
2070;0;200;3;1400.0
2016;0;240;4;4000.0
2070;0;380;5;4500.0
8050;0;200;2;1200.0
8050;0;420;5;3501.0
2070;0;80;1;1800.0
2070;0;160;4;4000.0
2070;0;180;3;2000.0
2070;0;140;2;1750.0
1082;0;100;2;1500.0
2070;0;300;3;3000.0
2070;0;250;3;5700.0
4116;0;80;2;850.0
2060;0;45;1;850.0
2016;0;200;3;3900.0
2070;0;200;3;1800.0
8050;0;60;2;2001.0
2070;0;230;5;1700.0
4180;0;320;4;1500.0
2070;0;250;4;4000.0
2070;0;360;4;2000.0
4116;0;600;2;600.0
8000;0;150;3;2001.0
2070;1;250;2;4500.0
2070;1;65;1;1000.0
2070;1;230;3;1300.0
2070;1;220;3;6000.0
2015;1;140;2;1700.0
2070;1;200;3;1600.0
2070;1;300;4;4500.0
2070;1;120;2;2700.0
2036;1;105;2;950.0
2036;1;120;3;850.0
2070;1;150;3;950.0
2091;1;129;4;950.0
2070;1;50;1;1500.0
2070;1;180;3;1200.0
2091;1;200;4;2000.0
2070;1;180;3;2500.0
2070;1;160;3;3800.0
2070;1;65;1;900.0
2070;1;220;4;2100.0
2070;1;160;3;1800.0
2070;1;180;3;7000.0
2016;1;40;1;1300.0
2070;1;200;4;4800.0
2070;1;100;2;1800.0
2070;1;50;1;1200.0
2070;1;140;2;2500.0
1082;1;190;2;1000.0
2070;1;110;2;1000.0
4004;1;120;2;950.0
2070;1;75;1;1500.0
2070;1;100;2;1250.0
2070;1;140;2;1500.0
2070;1;180;3;3500.0
2070;1;180;3;2000.0
2070;1;220;3;4500.0
2070;1;60;1;1500.0
2070;1;180;3;3800.0
2070;1;60;1;1200.0
2070;1;160;2;2400.0
2070;1;300;2;3800.0
8000;1;80;2;950.0
2015;1;125;2;1800.0
2015;1;90;2;1600.0
2070;1;90;2;2500.0
4004;1;76;1;1000.0
4004;1;70;1;700.0
4054;1;135;3;1150.0
4022;1;90;3;700.0
1082;1;140;4;1700.0
2070;1;100;2;1300.0
2091;1;110;3;1200.0
2070;1;130;2;1000.0
2016;1;110;1;1200.0
2070;1;150;3;5000.0
1082;1;113;3;2000.0
4004;1;95;2;950.0
2070;1;200;3;3800.0
2070;1;150;1;2500.0
2070;1;80;1;1600.0
2070;1;190;3;6000.0
2070;1;170;4;4400.0
2070;1;85;1;2000.0
2070;1;120;1;2000.0
2070;1;140;2;1600.0
2016;1;135;2;2600.0
2070;1;200;4;3500.0
2070;1;60;1;3000.0
2070;1;170;4;1500.0
2070;1;300;4;1300.0
1000;1;200;4;1300.0
1000;1;150;3;1200.0
2091;1;60;1;1100.0
2070;1;75;2;2500.0
2016;1;200;4;4900.0
2070;1;172;3;2200.0
2070;1;117;2;1200.0
2070;1;186;3;3500.0
2070;1;186;4;3000.0
2070;1;226;4;3500.0
2070;1;230;3;2000.0
1082;1;250;4;4200.0
2070;1;180;3;3100.0
2036;1;100;2;2500.0
4022;1;60;1;700.0
2016;1;90;2;1700.0
2070;1;150;2;1400.0
4054;1;115;3;1100.0
2070;1;130;3;2200.0
8000;1;170;4;1500.0
2015;1;76;1;1750.0
2015;1;200;4;2300.0
1082;1;150;2;2500.0
2091;1;380;4;5500.0
2091;1;350;3;6500.0
2070;1;300;3;4500.0
2015;1;74;1;1625.0
2070;1;150;3;2000.0
2070;1;137;2;2100.0
2070;1;300;4;6000.0
8050;1;130;2;1600.0
2070;1;110;2;850.0
2070;1;250;3;3200.0
2070;1;65;1;1600.0
2070;1;300;2;3800.0
1082;1;50;2;850.0
1082;1;170;2;2000.0
1082;1;50;2;560.0
1082;1;160;3;1500.0
2070;1;300;3;3750.0
2070;1;60;1;1300.0
2015;1;70;1;2000.0
2015;1;90;1;1100.0
2070;1;110;2;1800.0
2070;1;65;1;1100.0
2070;1;85;2;1300.0
2070;1;170;3;2850.0
2070;1;120;3;4500.0
2070;1;130;2;3500.0
4022;1;80;2;900.0
2070;1;80;1;1600.0
2016;1;130;3;1500.0
2070;1;120;2;2300.0
2015;1;100;2;1500.0
2015;1;190;4;2500.0
2070;1;173;4;2500.0
2070;1;116;1;4200.0
2070;1;210;3;3600.0
2070;1;133;2;1400.0
2070;1;300;3;6000.0
2015;1;180;3;4000.0
2091;1;147;3;1700.0
1082;1;130;4;950.0
2070;1;180;3;2500.0
2070;1;74;1;1350.0
2070;1;100;3;3300.0
2070;1;97;2;2300.0
2036;1;168;3;2000.0
2036;1;60;1;900.0
2070;1;135;2;3000.0
2015;1;70;1;1700.0
2070;1;185;3;3500.0
2070;1;148;3;3500.0
2070;1;230;3;5500.0
8050;1;90;1;1200.0
2070;1;110;2;2400.0
8050;1;80;1;1100.0
2015;1;175;4;2300.0
2070;1;240;4;2800.0
2070;1;311;2;4400.0
2036;1;75;1;870.0
2015;1;60;1;1000.0
2070;1;80;2;1200.0
2070;1;160;4;5000.0
2070;1;160;3;2600.0
2070;1;90;3;2800.0
2070;1;150;2;2800.0
2070;1;140;3;2300.0
2070;1;250;3;5500.0
2070;1;160;2;2100.0
2070;1;180;3;3200.0
2070;1;88;2;2500.0
1000;1;70;1;750.0
8050;1;99;3;1750.0
2070;1;100;2;2200.0
2091;1;110;4;1800.0
2091;1;135;3;1200.0
2091;1;130;4;1200.0
2091;1;120;3;900.0
2070;1;150;2;2400.0
1082;1;120;2;550.0
2015;1;180;3;1700.0
1082;1;112;2;1400.0
2070;1;150;2;4500.0
2015;1;190;4;2500.0
8000;1;100;3;750.0
8050;1;100;1;550.0
4004;1;70;1;1000.0
4004;1;100;3;1000.0
2070;1;109;2;1900.0
2016;1;135;2;2600.0
2070;1;130;3;1500.0
2070;1;60;1;1400.0
8050;1;75;2;1500.0
2070;1;120;4;4500.0
2070;1;400;4;4500.0
2015;1;100;1;1800.0
2070;1;190;3;1700.0
2070;1;250;4;6000.0
2070;1;100;3;1700.0
1082;1;70;1;1250.0
2015;1;100;3;1200.0
2015;1;100;2;1450.0
2070;1;130;5;2200.0
2070;1;120;3;5000.0
2070;1;135;3;1600.0
2070;1;160;3;1700.0
1082;1;500;5;5000.0
4004;1;350;4;1500.0
4004;1;150;4;1000.0
1082;1;65;2;900.0
2070;1;150;4;2000.0
2070;1;180;3;4800.0
2070;1;150;3;1900.0
2016;1;130;2;2000.0
2070;1;100;2;1500.0
4022;1;56;1;600.0
2070;1;120;2;1500.0
2015;1;80;1;1000.0
2015;1;120;2;1200.0
2015;1;150;2;1700.0
2070;1;170;1;4300.0
2070;1;200;2;10000.0
2015;1;180;3;2100.0
2070;1;300;3;3200.0
1082;1;170;4;1650.0
1082;1;96;1;1100.0
2070;1;170;3;1700.0
1082;1;150;3;1500.0
2070;1;130;2;1300.0
2070;1;120;2;3000.0
2036;1;150;2;1350.0
4004;1;200;3;850.0
2070;1;110;2;1650.0
1000;1;160;3;1300.0
1082;1;120;4;1600.0
8050;1;88;1;1100.0
2070;1;250;4;4800.0
2070;1;120;2;1200.0
2083;1;160;4;1700.0
2070;1;125;2;2500.0
2036;1;65;1;1000.0
4216;1;90;1;1400.0
1082;1;120;4;700.0
2070;1;200;3;3500.0
2070;1;120;2;2000.0
2015;1;120;2;1250.0
2015;1;120;2;1700.0
2070;1;150;3;3500.0
2070;1;108;2;1500.0
2070;1;220;4;1300.0
2070;1;180;3;2500.0
2070;1;180;3;5000.0
2015;1;120;2;1150.0
1082;1;125;3;1250.0
1082;1;140;2;2000.0
8000;1;110;2;420.0
2070;1;300;3;3500.0
2070;1;145;3;1000.0
2015;1;142;2;2500.0
2015;1;125;2;1950.0
2070;1;186;3;2500.0
2070;1;350;3;3700.0
1082;1;120;2;1900.0
2070;1;150;3;5000.0
2070;1;170;3;2900.0
1082;1;150;2;1000.0
1082;1;200;3;2700.0
2070;1;220;3;3700.0
4004;1;150;4;650.0
2070;1;180;3;1800.0
2070;1;200;3;2800.0
1082;1;145;2;1600.0
1082;1;150;2;1600.0
2070;1;120;3;2000.0
2070;1;200;3;2800.0
2070;1;290;3;2800.0
2070;1;195;3;3500.0
2070;1;550;5;7800.0
2070;1;120;3;4200.0
2070;1;70;1;1900.0
2070;1;100;2;2400.0
2016;1;120;4;3000.0
2070;1;110;2;2000.0
1082;1;220;3;1250.0
2070;1;70;1;1900.0
2070;1;150;2;3200.0
1082;1;100;2;850.0
1082;1;190;2;850.0
4004;1;78;1;1100.0
2070;1;272;3;8000.0
4004;1;200;3;1600.0
2070;1;260;4;3600.0
2070;1;120;2;2700.0
2070;1;60;1;1650.0
2070;1;115;2;1000.0
2070;1;140;2;2900.0
2070;1;110;2;2200.0
2070;1;130;3;1200.0
2070;1;165;3;2500.0
2070;1;100;2;2500.0
2070;1;220;3;4000.0
2070;1;200;2;5000.0
2070;1;130;2;1500.0
2070;1;133;2;1800.0
2070;1;148;2;2200.0
2070;1;86;1;2500.0
2070;1;190;4;1500.0
2070;1;60;1;2000.0
2070;1;180;3;3500.0
2070;1;170;3;2500.0
2070;1;220;4;5000.0
2070;1;180;3;2900.0
2070;1;100;1;1030.0
2015;1;224;3;2700.0
2015;1;85;1;1100.0
2070;1;90;1;1600.0
2070;1;125;2;3500.0
1082;1;70;1;850.0
4004;1;120;3;1500.0
2070;1;100;3;1200.0
4022;1;120;2;1300.0
2070;1;200;3;1300.0
2070;1;210;3;3000.0
2070;1;160;3;1600.0
2015;1;180;3;1800.0
2070;1;140;2;2500.0
2070;1;140;3;1200.0
2070;1;128;2;1300.0
2070;1;86;1;3000.0
2070;1;70;1;1000.0
2015;1;70;1;1400.0
2070;1;100;1;1300.0
2070;1;200;4;5000.0
2070;1;120;2;1700.0
2070;1;180;3;5000.0
2036;1;150;3;1350.0
2036;1;65;1;1050.0
2036;1;140;2;1550.0
2070;1;120;2;2400.0
8050;1;150;3;1601.0
8000;1;75;1;700.0
2070;1;110;2;2100.0
2070;1;170;3;2500.0
4004;1;80;2;650.0
2070;1;90;3;2500.0
4004;1;80;2;550.0
4004;1;123;2;1300.0
2070;1;150;3;1250.0
2070;1;100;1;900.0
1082;1;100;3;800.0
8050;1;100;2;750.0
4004;1;60;1;600.0
2070;1;220;3;4000.0
2070;1;200;4;2400.0
2070;1;160;2;3000.0
2070;1;120;2;3000.0
2070;1;70;1;1600.0
2015;1;120;2;1400.0
2070;1;250;3;5500.0
4022;1;120;3;1000.0
2070;1;80;2;2500.0
2015;1;85;1;1100.0
2070;1;150;3;3000.0
2070;1;170;3;3800.0
2070;1;200;3;6000.0
2070;1;100;2;1600.0
2070;1;200;3;4000.0
2070;1;170;3;4500.0
2070;1;120;2;3500.0
1082;1;120;2;1800.0
2070;1;100;3;1600.0
2070;1;200;3;1500.0
1082;1;140;2;2000.0
2070;1;90;2;2500.0
1082;1;140;3;1100.0
2070;1;160;3;1600.0
2070;1;120;2;2400.0
2016;1;130;2;1200.0
8050;1;90;1;1000.0
2070;1;130;3;1000.0
1082;1;90;2;1500.0
4051;1;300;2;900.0
2015;1;200;3;2000.0
2036;1;200;3;1900.0
1082;1;170;3;1600.0
2015;1;80;1;1300.0
2070;1;130;2;1200.0
2070;1;170;3;3500.0
2070;1;260;4;3600.0
2070;1;63;1;1000.0
2070;1;90;2;3000.0
2070;1;130;2;4500.0
2070;1;190;4;2500.0
2036;1;320;6;2700.0
2070;1;160;4;1700.0
2070;1;130;2;3500.0
2070;1;110;2;1400.0
2070;1;190;3;3000.0
2015;1;127;2;1300.0
2070;1;210;3;3500.0
2036;1;150;3;1400.0
2070;1;150;2;1400.0
8050;1;200;2;2501.0
2070;1;60;1;1800.0
2070;1;200;3;4000.0
1082;1;120;2;1400.0
2070;1;130;2;2500.0
1082;1;150;3;950.0
2015;1;80;1;1600.0
4054;1;120;3;1100.0
2015;1;175;4;2300.0
2036;1;100;2;1200.0
2070;1;165;3;2100.0
2015;1;76;1;1700.0
2070;1;100;2;1700.0
2070;1;140;2;9000.0
2070;1;230;3;3200.0
2015;1;90;2;1200.0
2015;1;175;3;2200.0
2070;1;150;3;1400.0
2097;1;120;2;1000.0
2015;1;120;2;2700.0
2070;1;80;1;1750.0
2070;1;115;2;1300.0
2070;1;70;1;2300.0
2070;1;150;4;1150.0
2070;1;150;2;2150.0
2070;1;290;3;3500.0
8050;1;65;1;550.0
2070;1;130;3;2600.0
2070;1;170;3;2500.0
1082;1;250;3;750.0
2070;1;175;3;4800.0
2070;1;130;2;2750.0
2036;1;130;3;1400.0
2070;1;160;3;1700.0
4004;1;200;2;1000.0
2015;1;80;1;1100.0
4004;1;78;1;1100.0
2036;1;120;2;1270.0
2070;1;60;1;1300.0
4059;1;140;3;1000.0
4004;1;138;2;900.0
1082;1;100;2;2000.0
1082;1;200;3;1600.0
2070;1;120;2;1500.0
2015;1;224;3;2250.0
2070;1;290;3;3500.0
2070;1;250;3;3500.0
2070;1;145;2;2500.0
2070;1;120;2;1550.0
2070;1;140;2;3500.0
2070;1;200;4;3500.0
2015;1;225;3;3000.0
2070;1;200;3;3200.0
2015;1;90;2;1400.0
2070;1;311;2;4400.0
1082;1;225;4;2200.0
2070;1;180;3;3500.0
2015;1;145;2;1700.0
4022;1;70;1;500.0
2015;1;145;2;1400.0
2015;1;180;3;2300.0
2070;1;180;3;3500.0
2070;1;130;2;1700.0
2015;1;200;4;3000.0
2013;1;250;3;850.0
2036;1;250;2;750.0
2016;1;200;3;5000.0
2083;1;70;3;1050.0
2070;1;130;3;2500.0
2015;1;100;1;1500.0
2070;1;180;3;3500.0
1082;1;160;3;1700.0
2036;1;160;3;1500.0
2070;1;150;3;2000.0
2070;1;90;2;2100.0
8050;1;50;1;450.0
2070;1;100;4;4500.0
8000;1;110;2;800.0
1082;1;195;3;1700.0
2070;1;100;2;1500.0
2070;1;60;1;1200.0
2091;1;140;2;1400.0
1082;1;200;3;650.0
2036;1;200;4;4300.0
2015;1;94;2;650.0
2070;1;120;2;1400.0
2015;1;190;3;1800.0
4022;1;100;2;630.0
2070;1;120;2;1800.0
2016;1;200;3;1350.0
2070;1;80;3;4500.0
4004;1;120;2;1200.0
2070;1;180;3;3800.0
